institution_name,category,status,revocation_date,receiver,legal_basis,source_document
CITIZEN CAPITAL MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
CITY CREDIT MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
CONNECT CAPITAL MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
COTTAGE MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
CREDABILITY INVESTMENT AND MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
CROWN CAPITAL MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
CROWN HOUSE MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
CYMAIN CAPITAL MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
CYPRESS MICROFINANCE COMPANY LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
DAHINSHELI MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
DAILY CAPITAL MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
DATACASH MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
DBM MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
DELIGHT MICROFINANCE COMPANY LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
DES MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
DOLPHIN MICROFINANCE SERVICES LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
DONEWEALTH MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
DOVE MICROFINANCE COMPANY LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
DPF MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
D-VANC MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
DWETIRE MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
EASYFAST MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
EBENEZER MICROFINANCE COMPANY LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
ECLIPSE MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
EMEFS MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
EMERALF MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
EMERGE MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
EMETON MICROFINANCE SERVICES LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
EMPIRE CREDIT MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
EMWL MICROFINANCE COMPANY LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
ET MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
EVERGREEN MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
EXPRESSWAY MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
FAST TRACK CAPITAL MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
FINANCIAL REPUBLIC MICROFINANCE COMPANY LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
FINO MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
FIRST CALL MICROFINANCE COMPANY LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
FIRST LIBERTY MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
FOUNTAINGATE MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
FRONTIER CAPITAL MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
FRONTLINE MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
FTS CAPITAL MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
FUTURE LEADERS MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
GAB MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
GAD MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
GALAXY MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
GEO MULTI MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
GG CREDIT MICROFINANCE COMPANY LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
GHABSY MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
GIANT STEPS MICROFINANCE SERVICES LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
GLOBAL FEED MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
GLOBAL TRUST MICROFINANCE SERVICES LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
GOD IS PERFECT MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
GOLDMAN CAPITAL MICROFINANCE CO. LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
GREAT NATION MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
