institution_name,category,status,revocation_date,receiver,legal_basis,source_document
R&J GATEWAY MICROFINANCE SERVICES LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
RANCARE MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
REDEEMER MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
RENAIZANCE CAPITAL SOLUTIONS MICROFINANCE,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
REOB FEKAMS MICROFINANCE COMPANY LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
RIGHTWAY MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
RIVERS CAPITAL MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
ROPA MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
ROSS CAPITAL MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
ROYAL STEPS MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
ROYALTY CAPITAL MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
SAFENET MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
SAMAG MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
SAVANNAH MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
SAVPLUS MICROFINANCE SERVICES LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
SILVER TRUST MICROFINANCE COMPANY LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
SOLID ROCK MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
SOLUTIONS MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
SOURCES UNLIMITED MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
SOVEREIGN MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
STANDARD TRUST MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
STAR ALLIANCE MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
STARLING MICROFINANCE SERVICES LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
STARTWELL MICROFINANCE COMPANY LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
SUPREME TRUST MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
THE ORANGE CAPITAL MICROFINANCE,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
THE RASHARDS MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
THE TRUSTLINE MICROFINANCE COMPANY LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
TI MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
TOTAL DISCOUNT MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
TRUE LIFE CAPITAL MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
TRUST LINK MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
TRUST MICROFINANCE COMPANY LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
TURNSTAR MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
UNIK LIFE MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
UNIQUE MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
UNIQUE-MAS MICROFINANCE COMPANY LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
VISION CREDIT MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
VOA MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
WE ENABLE MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
WINTRUST MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
WONDALAND MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
YAN MICROFINANCE COMPANY LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
YEKEN MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
YOLI MICROFINANCE COMPANY LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
72 HOURS MICROFINANCE COMPANY LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
ABIS PLUS MICROFINANCE LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
ACIT CAPITAL MICROFINANCE LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
ADWENPA MICROFINANCE LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
ADWUMADEN MICROFINANCE LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
AFRICAN TRUST MICROFINANCE LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
AG MICROFINANCE LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
AGT MICROFINANCE COMPANY LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
ALLOT MICROFINANCE COMPANY LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
ARHINPA MICROFINANCE LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
ATTENTION MICROFINANCE LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
AV GLOBAL MICROFINANCE LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
BEACONCITY MICROFINANCE COMPANY LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
BEDEL MICROFINANCE LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
BENGAY MICROFINANCE COMPANY LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
BETTER LIFE MICROFINANCE COMPANY LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
BIG DREAMS MICROFINANCE LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
BIK MICROFINANCE COMPANY LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
BOATEM MICROFINANCE LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
BOAVOLE MICROFINANCE LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
BRISK CREDIT MICROFINANCE LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
C.I.G. MICROFINANCE LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
CAPITAL HOUSE MICROFINANCE LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
CAPITAL LINE MICROFINANCE LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
CAPTAINS MICROFINANCE COMPANY LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
CASABLANCA MICROFINANCE LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
CASHBRIDGE MICROFINANCE LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
CC MICROFINANCE LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
CITIZENS RESOURCE MICROFINANCE LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
COMAID MICROFINANCE LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
COMBA MICROFINANCE LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
COMMON CAPITAL MICROFINANCE LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
COMMUNITY MICROFINANCE LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
CRUCIAL TIMES MICROFINANCE LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
CYPRESS CEDAR MICROFINANCE COMPANY LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
DAA NHYIRA MICROFINANCE COMPANY LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
DC MICROFINANCE COMPANY LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
DEMS MICROFINANCE COMPANY LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
DG CAPITAL MICROFINANCE LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
DIVINE FORTUNES MICROFINANCE LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
DIVINE MICROFINANCE LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
DWADIFO ADANFO MICROFINANCE COMPANY LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
DYNASTY MICROFINANCE SERVICES LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
EDEN MICROFINANCE LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
EKOBA GET RICH MICROFINANCE LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
ELITE MICROFINANCE LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
ELLIS MICROFINANCE LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
ERA MICROFINANCE SERVICES LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
EXCEL UNITED MICROFINANCE LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
FIRST FIDELITY MICROFINANCE LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
FLEXI MICROFINANCE LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
FOCUS LINK MICROFINANCE COMPANY LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
FORTRESS MICROFINANCE COMPANY LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
FRANKAMAN MICROFINANCE COMPANY LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
GIANT GAIT MICROFINANCE LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
G-LIFE MICROFINANCE LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
GLOBAL ONE MICROFINANCE COMPANY LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
GMET MICROFINANCE LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
GODIGO MICROFINANCE LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
GOLDEN TRUST MICROFINANCE COMPANY LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
GOLDPOT MICROFINANCE LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
GOODNEWS MICROFINANCE COMPANY LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
HALAL MICROFINANCE LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
HIGH PRESTIGE MICROFINANCE SERVICES LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
HOG MICROFINANCE LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
ICS MICROFINANCE LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
IK MICROFINANCE LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
INSTANT MICROFINANCE LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
INVESTSURE MICROFINANCE LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
JADA MICROFINANCE LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
JAYS MICROFINANCE LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
JOPAT MICROFINANCE COMPANY LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
JORBIES MICROFINANCE LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
JOYHELP MICROFINANCE LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
JOYPRIN MICROFINANCE COMPANY LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
K. A. D. MICROFINANCE LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
KANAFIN MICROFINANCE SERVICES LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
KAPITAL EXPRESS MICROFINANCE COMPANY LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
KARSI MICROFINANCE LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
KENLASAB MICROFINANCE LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
KINGDOM TRUST MICROFINANCE LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
LANDMARK MICROFINANCE LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
LAST CHANCE MICROFINANCE COMPANY LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
LATTER RAIN MICROFINANCE LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
LEAD CAPITAL MICROFINANCE LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
LEAD GLOBAL MICROFINANCE LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
LEAP CREDIT MICROFINANCE LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
LIGHT MICROFINANCE LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
LIQUIDITY SOLUTIONS MICROFINANCE LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
LIYAC MICROFINANCE COMPANY LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
LOYAL SHEPHERD MICROFINANCE LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
MALLON MICROFINANCE COMPANY LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
MAN CAPITAL MICROFINANCE COMPANY LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
MARS MICROFINANCE LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
MEGAMITCH MICROFINANCE LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
MICRENE MICROFINANCE LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
MIGHTY MICROFINANCE LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
MOKAP MICROFINANCE LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
MONEYSHOP MICROFINANCE LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
MOORE NAARA MICROFINANCE LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
MT MICROFINANCE LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
NATIVITY MICROFINANCE SERVICES LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
NIVA MICROFINANCE LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
NOBLE DREAM MICROFINANCE LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
OBAATANPA MICROFINANCE COMPANY LIMITED,Microfinance,Insolvent and ceased operations,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
